GeneID	GSM7510191	GSM7510192	GSM7510193	GSM7510194	GSM7510195	GSM7510196	GSM7510197	GSM7510198	GSM7510199	GSM7510200	GSM7510201	GSM7510202
284422	0.5387	0	0	0	0.0833	0	0.1984	0.06889	0	0	0.1009	0.07585
105372246	0.3327	0	0	0	0	0.09726	0	0.04862	0	0	0	0
83475	38.69	30.92	25.27	41.6	44.75	42.33	43.74	40.05	35.4	29.53	53.56	39.77
105372245	6.307	3.425	4.314	5.149	6.104	5.928	5.014	5.707	4.136	4.057	7.327	6.332
51343	14.49	34.62	32.09	24.31	25.19	18.74	21.58	26.92	42.4	39.53	28.91	22.88
126321	104.6	116.8	99.88	106.4	105.2	121.6	129.1	139.5	108.7	98.99	131.9	96.34
100128569	105.6	83.52	63	75.41	81.19	99.96	106.7	140	102.3	86.4	90.56	61.7
10362	110.2	196.9	173.9	94.46	93.68	165.6	160.7	117.2	135	120.4	112.2	90.06
126326	0.8989	2.195	2.883	0	0.04942	0.06132	0.03923	0.06131	0.2637	0.1259	0.08976	0.1575
6915	1.64	4.478	4.353	1.29	0.8727	2.848	2.228	2.458	3.877	3.197	2.684	1.611
404665	19.58	17.26	16.39	15.62	18.63	19.8	19.18	21.17	18.11	17.17	20.89	15.56
58509	28.86	24.68	20.89	24.22	27.43	28.53	24.33	28.79	25.76	23.87	27.75	20.17
23396	22.25	31.7	27.04	17.82	18.17	17.6	15.37	26.47	31.4	27.29	23.82	15.63
27134	0.2175	0.346	0.5145	0.4164	0.1345	0.1947	0.1602	0.1112	0.3589	0.2399	0.1629	0.2144
